civilization_type,primary_x,primary_y,alternate_x,alternate_y,priority,region,anchor
CIVILIZATION_ENGLAND,29,48,23,58,10,British Isles,London
CIVILIZATION_CELTS,23,58,17,52,20,British Isles,Edinburgh
CIVILIZATION_FRANCE,34,42,28,32,10,France,Paris
CIVILIZATION_SPAIN,22,23,28,21,10,Iberia,Madrid
CIVILIZATION_PORTUGAL,12,19,13,24,10,Iberia,Lisbon
CIVILIZATION_NETHERLANDS,40,50,39,49,10,Low Countries,Amsterdam
CIVILIZATION_GERMANY,59,50,55,40,10,Germany,Berlin
CIVILIZATION_DENMARK,56,57,51,58,10,Denmark,Copenhagen
CIVILIZATION_SWEDEN,69,64,56,61,10,Scandinavia,Stockholm
CIVILIZATION_POLAND,76,49,74,43,10,Poland,Warsaw
CIVILIZATION_AUSTRIA,66,40,61,40,10,Danube,Vienna
CIVILIZATION_VENICE,56,34,49,34,10,Northern Italy,Venice
CIVILIZATION_ROME,57,25,60,24,10,Italy,Rome
CIVILIZATION_GREECE,81,17,80,23,10,Greece,Athens
CIVILIZATION_BYZANTIUM,92,23,81,28,10,Thrace,Constantinople
CIVILIZATION_OTTOMAN,92,23,92,22,20,Anatolia,Constantinople
CIVILIZATION_RUSSIA,103,57,94,65,10,European Russia,Moscow
CIVILIZATION_HUNS,72,39,95,45,30,Carpathian Basin,Etzelburg
CIVILIZATION_CARTHAGE,52,15,50,9,10,North Africa,Carthage
CIVILIZATION_MOROCCO,14,6,16,9,10,North Africa,Marrakesh
CIVILIZATION_EGYPT,95,3,94,5,10,Nile Valley,Memphis
CIVILIZATION_MONGOL,113,38,113,36,20,Lower Volga Steppe,Sarai
CIVILIZATION_PERSIA,116,3,116,12,10,Iranian Plateau,Persepolis
CIVILIZATION_BABYLON,110,7,110,8,10,Mesopotamia,Babylon
CIVILIZATION_ASSYRIA,109,14,109,14,20,Upper Mesopotamia,Nineveh
