civilization_type,primary_lon,primary_lat,alternate_lon,alternate_lat,priority,region,anchor
CIVILIZATION_ENGLAND,-0.1276,51.5072,-3.1883,55.9533,10,British Isles,London
CIVILIZATION_CELTS,-3.1883,55.9533,-6.2603,53.3498,20,British Isles,Edinburgh
CIVILIZATION_FRANCE,2.3522,48.8566,-0.5792,44.8378,10,France,Paris
CIVILIZATION_SPAIN,-3.7038,40.4168,-0.3763,39.4699,10,Iberia,Madrid
CIVILIZATION_PORTUGAL,-9.1393,38.7223,-8.6291,41.1579,10,Iberia,Lisbon
CIVILIZATION_NETHERLANDS,4.9041,52.3676,4.4777,51.9244,10,Low Countries,Amsterdam
CIVILIZATION_GERMANY,13.4050,52.5200,11.5820,48.1351,10,Germany,Berlin
CIVILIZATION_DENMARK,12.5683,55.6761,10.2039,56.1629,10,Denmark,Copenhagen
CIVILIZATION_SWEDEN,18.0686,59.3293,11.9746,57.7089,10,Scandinavia,Stockholm
CIVILIZATION_POLAND,21.0122,52.2297,19.9450,50.0647,10,Poland,Warsaw
CIVILIZATION_AUSTRIA,16.3738,48.2082,14.2858,48.3069,10,Danube,Vienna
CIVILIZATION_VENICE,12.3155,45.4408,9.1900,45.4642,10,Northern Italy,Venice
CIVILIZATION_ROME,12.4964,41.9028,14.2681,40.8518,10,Italy,Rome
CIVILIZATION_GREECE,23.7275,37.9838,22.9444,40.6401,10,Greece,Athens
CIVILIZATION_BYZANTIUM,28.9784,41.0082,23.3219,42.6977,10,Thrace,Constantinople
CIVILIZATION_OTTOMAN,28.9784,41.0082,32.8597,39.9334,20,Anatolia,Constantinople
CIVILIZATION_RUSSIA,37.6173,55.7558,30.3351,59.9343,10,European Russia,Moscow
CIVILIZATION_HUNS,19.0402,47.4979,30.5234,50.4501,30,Carpathian Basin,Etzelburg
CIVILIZATION_CARTHAGE,10.3300,36.8500,9.5375,33.8869,10,North Africa,Carthage
CIVILIZATION_MOROCCO,-7.9811,31.6295,-6.8498,34.0209,10,North Africa,Marrakesh
CIVILIZATION_EGYPT,31.2500,29.8500,29.9187,31.2001,10,Nile Valley,Memphis
