minor_civilization_type,longitude,latitude,anchor
MINOR_CIV_ANTWERP,4.4025,51.2194,Antwerp
MINOR_CIV_BELGRADE,20.4489,44.7866,Belgrade
MINOR_CIV_BRATISLAVA,17.1077,48.1486,Bratislava
MINOR_CIV_BRUSSELS,4.3517,50.8503,Brussels
MINOR_CIV_BUCHAREST,26.1025,44.4268,Bucharest
MINOR_CIV_BUDAPEST,19.0402,47.4979,Budapest
MINOR_CIV_DUBLIN,-6.2603,53.3498,Dublin
MINOR_CIV_FLORENCE,11.2558,43.7696,Florence
MINOR_CIV_GENEVA,6.1432,46.2044,Geneva
MINOR_CIV_GENOA,8.9463,44.4056,Genoa
MINOR_CIV_JERUSALEM,35.2137,31.7683,Jerusalem
MINOR_CIV_KIEV,30.5234,50.4501,Kiev
MINOR_CIV_MONACO,7.4246,43.7384,Monaco
MINOR_CIV_RAGUSA,18.0944,42.6507,Ragusa
MINOR_CIV_RIGA,24.1052,56.9496,Riga
MINOR_SIDON,35.3715,33.5571,Sidon
MINOR_CIV_SOFIA,23.3219,42.6977,Sofia
MINOR_TYRE,35.2038,33.2705,Tyre
MINOR_CIV_VATICAN_CITY,12.4534,41.9029,Vatican City
MINOR_CIV_VILNIUS,25.2797,54.6872,Vilnius
MINOR_CIV_UR,46.1031,30.9625,Ur
MINOR_CIV_YEREVAN,44.5152,40.1872,Yerevan
MINOR_CIV_ZURICH,8.5417,47.3769,Zurich
MINOR_CIV_VALLETTA,14.5146,35.8997,Valletta
MINOR_CIV_PRAGUE,14.4378,50.0755,Prague
